tweet_count,user_name,text,created_at,retweet_count,favorite_count,reply_count
1,Womowebtechofficial,"RT @Randomss_____: Freezing withdrawals is a serious warning sign of fraud. We're actively assisting victims of platforms like #Cryptevo, #…",2025-06-08 02:01:16+00:00,1,0,0
2,米奇🐭,"RT @BroLeonAus: 小黑也开始讨论4meme和大表哥了， @BNBCHAINZH 也是好起来了啊。

之前一直诟病的地方就是BSC都是国人玩，老外看不上。现在连Solana的车头都开始讨论Bnbchain了，离欧美p小将们进来的日子还远吗？

Solana上meme…",2025-06-08 02:01:15+00:00,1,0,0
3,Vikram,"RT @lunulfoundation: The noise is about to start.
But you were here before it was loud.
Lunul is gearing up—funded, focused, and real.
This…",2025-06-08 02:01:15+00:00,36,0,0
4,Kerri Pride𐤊,"RT @BodiesFi: 🚨 Alert! $SOL Giveaway!

🤝 Our team is ready for long-term relationships with our community! 

We giving away $SOL only first…",2025-06-08 02:01:14+00:00,211,0,0
5,Womowebtechofficial,"RT @no_name_092: Güvenilir platformlar çekimleri sebepsiz dondurmaz. #Puznex, #Fextap veya #Cryptevo’da takıldıysanız hemen kurtarma desteğ…",2025-06-08 02:01:12+00:00,0,0,0
6,Vikram,"RT @lunulfoundation: Lunul isn’t chasing hype — we’re building legacy.
If you’ve been here, you know what’s coming.
Now’s not the time to c…",2025-06-08 02:01:12+00:00,33,0,0
7,Rysev19/$IFR 🔜,"RT @bolxsol: $BOLX Airdrop is open for 12 Hours 🪂

Drop your Solana Wallet Below, Follow 🔔 &amp; RT 👇

Every Wallet gets 600.000 $BOLX 

Check…",2025-06-08 02:01:11+00:00,335,0,0
8,G3Banden,#SOLANA,2025-06-08 02:01:11+00:00,0,0,0
9,Crypto Price Bot ✨,"🚀 Crypto Prices Update 🚀
🟧 #Bitcoin (BTC):       $105,690.32
⬛ #Ethereum (ETH):  $2,518.87
🟩 #Solana (SOL):       $150.29
🟨 #Binance (BNB):    $650.39
🟥 #Monero (XMR):    $330.95
🟪 #Polkadot (DOT):   $4.039

🇪🇺 EUR: €0.877 🇯🇵 JPY: ¥144.865
🇬🇧 GBP: £0.739 🇨🇳 CNY: ¥7.189",2025-06-08 02:01:11+00:00,0,0,0
10,Space Pirate,"@NelsonsCrypto @Suivestor This feature is available on Solana as well 

Look into Jupiter Quick accounts",2025-06-08 02:01:09+00:00,0,0,0
11,Melun,"@IcedKnife Shilling’s noise, not signal. Melun cuts through with Solana’s edge, data over hype. Stack smart or fade.",2025-06-08 02:01:09+00:00,0,0,0
12,Womowebtechofficial,"RT @Randomss_____: Freezing withdrawals is a serious warning sign of fraud. We're actively assisting victims of platforms like #Cryptevo, #…",2025-06-08 02:01:08+00:00,1,0,0
13,sijimat 🦭/acc,"RT @BodiesFi: 🚨 Alert! $SOL Giveaway!

🤝 Our team is ready for long-term relationships with our community! 

We giving away $SOL only first…",2025-06-08 02:01:07+00:00,211,0,0
14,Feride Yolcu,"RT @PumpfunWhales_X: 💪 Fitnesspumps ($FIT)

🏋️ Let’s make this pump JUICY!
🔥 Flex, rep, and send it to the moon with the strongest meme on…",2025-06-08 02:01:07+00:00,27,0,0
